/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Model Params: 63.91M
Trainable Params: 63.912M
策略模型总参数量：63.912 M
Model Params: 63.91M
Trainable Params: 63.912M
参考模型总参数量：63.912 M
Epoch:[1/2](2600/4292), loss: 2.2164, dpo_loss: 2.2164, aux_loss: 0.0000, learning_rate: 0.00000041, epoch_time: 2.000min
Epoch:[1/2](2650/4292), loss: 1.0113, dpo_loss: 1.0113, aux_loss: 0.0000, learning_rate: 0.00000040, epoch_time: 2.000min
Epoch:[1/2](2700/4292), loss: 0.3923, dpo_loss: 0.3923, aux_loss: 0.0000, learning_rate: 0.00000040, epoch_time: 2.000min
Epoch:[1/2](2750/4292), loss: 0.2662, dpo_loss: 0.2662, aux_loss: 0.0000, learning_rate: 0.00000040, epoch_time: 2.000min
Epoch:[1/2](2800/4292), loss: 0.1125, dpo_loss: 0.1125, aux_loss: 0.0000, learning_rate: 0.00000039, epoch_time: 2.000min
Epoch:[1/2](2850/4292), loss: 0.1125, dpo_loss: 0.1125, aux_loss: 0.0000, learning_rate: 0.00000039, epoch_time: 2.000min
Epoch:[1/2](2900/4292), loss: 0.4221, dpo_loss: 0.4221, aux_loss: 0.0000, learning_rate: 0.00000038, epoch_time: 1.000min
Epoch:[1/2](2950/4292), loss: 0.2422, dpo_loss: 0.2422, aux_loss: 0.0000, learning_rate: 0.00000038, epoch_time: 1.000min
Epoch:[1/2](3000/4292), loss: 0.5190, dpo_loss: 0.5190, aux_loss: 0.0000, learning_rate: 0.00000038, epoch_time: 1.000min
Epoch:[1/2](3050/4292), loss: 0.4377, dpo_loss: 0.4377, aux_loss: 0.0000, learning_rate: 0.00000037, epoch_time: 1.000min
Epoch:[1/2](3100/4292), loss: 0.5424, dpo_loss: 0.5424, aux_loss: 0.0000, learning_rate: 0.00000037, epoch_time: 1.000min
Epoch:[1/2](3150/4292), loss: 0.5240, dpo_loss: 0.5240, aux_loss: 0.0000, learning_rate: 0.00000037, epoch_time: 1.000min
Epoch:[1/2](3200/4292), loss: 0.6677, dpo_loss: 0.6677, aux_loss: 0.0000, learning_rate: 0.00000036, epoch_time: 1.000min
Epoch:[1/2](3250/4292), loss: 0.4846, dpo_loss: 0.4846, aux_loss: 0.0000, learning_rate: 0.00000036, epoch_time: 1.000min
Epoch:[1/2](3300/4292), loss: 0.4047, dpo_loss: 0.4047, aux_loss: 0.0000, learning_rate: 0.00000035, epoch_time: 1.000min
Epoch:[1/2](3350/4292), loss: 0.9344, dpo_loss: 0.9344, aux_loss: 0.0000, learning_rate: 0.00000035, epoch_time: 1.000min
Epoch:[1/2](3400/4292), loss: 1.0692, dpo_loss: 1.0692, aux_loss: 0.0000, learning_rate: 0.00000035, epoch_time: 1.000min
Epoch:[1/2](3450/4292), loss: 0.2952, dpo_loss: 0.2952, aux_loss: 0.0000, learning_rate: 0.00000034, epoch_time: 1.000min
Epoch:[1/2](3500/4292), loss: 0.2207, dpo_loss: 0.2207, aux_loss: 0.0000, learning_rate: 0.00000034, epoch_time: 1.000min
Epoch:[1/2](3550/4292), loss: 0.8344, dpo_loss: 0.8344, aux_loss: 0.0000, learning_rate: 0.00000034, epoch_time: 1.000min
Epoch:[1/2](3600/4292), loss: 0.8179, dpo_loss: 0.8179, aux_loss: 0.0000, learning_rate: 0.00000033, epoch_time: 0.000min
Epoch:[1/2](3650/4292), loss: 0.7377, dpo_loss: 0.7377, aux_loss: 0.0000, learning_rate: 0.00000033, epoch_time: 0.000min
Epoch:[1/2](3700/4292), loss: 0.1634, dpo_loss: 0.1634, aux_loss: 0.0000, learning_rate: 0.00000032, epoch_time: 0.000min
Epoch:[1/2](3750/4292), loss: 1.4499, dpo_loss: 1.4499, aux_loss: 0.0000, learning_rate: 0.00000032, epoch_time: 0.000min
Epoch:[1/2](3800/4292), loss: 0.7002, dpo_loss: 0.7002, aux_loss: 0.0000, learning_rate: 0.00000032, epoch_time: 0.000min
Epoch:[1/2](3850/4292), loss: 0.4841, dpo_loss: 0.4841, aux_loss: 0.0000, learning_rate: 0.00000031, epoch_time: 0.000min
Epoch:[1/2](3900/4292), loss: 0.5256, dpo_loss: 0.5256, aux_loss: 0.0000, learning_rate: 0.00000031, epoch_time: 0.000min
Epoch:[1/2](3950/4292), loss: 0.3659, dpo_loss: 0.3659, aux_loss: 0.0000, learning_rate: 0.00000030, epoch_time: 0.000min
Epoch:[1/2](4000/4292), loss: 0.2933, dpo_loss: 0.2933, aux_loss: 0.0000, learning_rate: 0.00000030, epoch_time: 0.000min
Epoch:[1/2](4050/4292), loss: 1.9048, dpo_loss: 1.9048, aux_loss: 0.0000, learning_rate: 0.00000029, epoch_time: 0.000min
Epoch:[1/2](4100/4292), loss: 0.5492, dpo_loss: 0.5492, aux_loss: 0.0000, learning_rate: 0.00000029, epoch_time: 0.000min
